"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 10:34:43 GMT 2024","Thu Jan 04 10:34:43 GMT 2024","66","","User Sign-up Login and Logout","","","","should error for an invalid password for existing user",""
"unknown","Thu Jan 04 10:34:38 GMT 2024","Thu Jan 04 10:34:44 GMT 2024","6794","","User Sign-up Login and Logout","","","","should display login errors",""
"passed","Thu Jan 04 10:35:06 GMT 2024","Thu Jan 04 10:35:07 GMT 2024","900","","Transactions","","","","""before each"" hook for Transactions",""
"passed","Thu Jan 04 10:35:04 GMT 2024","Thu Jan 04 10:35:06 GMT 2024","1680","","Transactions","","","","should display Transaction detail",""
"passed","Thu Jan 04 10:34:43 GMT 2024","Thu Jan 04 10:34:43 GMT 2024","47","","User Sign-up Login and Logout","","","","""before each"" hook for User Sign-up Login and Logout",""
"passed","Thu Jan 04 10:35:06 GMT 2024","Thu Jan 04 10:35:08 GMT 2024","1722","","Transactions","","","","should allow to comment Transaction",""
"unknown","Thu Jan 04 10:34:35 GMT 2024","Thu Jan 04 10:34:37 GMT 2024","1336","","Managing Bank accounts","","","","Should display helper messages, when creating new Bank Account",""
"passed","Thu Jan 04 10:34:39 GMT 2024","Thu Jan 04 10:34:39 GMT 2024","21","","User Sign-up Login and Logout","","","","should display signup errors",""
"unknown","Thu Jan 04 10:34:33 GMT 2024","Thu Jan 04 10:34:44 GMT 2024","11054","","User Sign-up Login and Logout","","","","should allow a visitor to sign-up, login, and logout",""
"passed","Thu Jan 04 10:34:51 GMT 2024","Thu Jan 04 10:34:53 GMT 2024","2330","","Transactions","","","","should allow making new payment",""
"passed","Thu Jan 04 10:34:35 GMT 2024","Thu Jan 04 10:34:35 GMT 2024","17","","Managing Bank accounts","","","","""before each"" hook for Managing Bank accounts",""
"passed","Thu Jan 04 10:34:33 GMT 2024","Thu Jan 04 10:34:35 GMT 2024","2088","","Managing Bank accounts","","","","Should allow to delete an existing Bank Account",""
"passed","Thu Jan 04 10:35:01 GMT 2024","Thu Jan 04 10:35:03 GMT 2024","1819","","Transactions","","","","should display helper messages for Amount and Note input fields",""
"unknown","Thu Jan 04 10:34:31 GMT 2024","Thu Jan 04 10:34:44 GMT 2024","12943","","User Sign-up Login and Logout","","","","should redirect to the home page after login",""
"unknown","Thu Jan 04 10:34:49 GMT 2024","Thu Jan 04 10:34:50 GMT 2024","1106","","My Account page tests","","","","should display My Account input error messages",""
"passed","Thu Jan 04 10:34:30 GMT 2024","Thu Jan 04 10:34:33 GMT 2024","2814","","Managing Bank accounts","","","","Should allow to create a new Bank Account",""
"unknown","Thu Jan 04 10:34:59 GMT 2024","Thu Jan 04 10:35:08 GMT 2024","9272","","Transactions","","","","should allow making new payment request",""
"passed","Thu Jan 04 10:34:41 GMT 2024","Thu Jan 04 10:34:41 GMT 2024","22","","User Sign-up Login and Logout","","","","should error for an invalid user",""
"unknown","Thu Jan 04 10:34:53 GMT 2024","Thu Jan 04 10:35:08 GMT 2024","14453","","Transactions","","","","should allow to return to transactions list after making payment",""
"passed","Thu Jan 04 10:35:08 GMT 2024","Thu Jan 04 10:35:08 GMT 2024","54","","Transactions","","","","""after each"" hook for Transactions",""
"passed","Thu Jan 04 10:34:56 GMT 2024","Thu Jan 04 10:34:59 GMT 2024","2742","","Transactions","","","","should allow making another payment right away",""
"passed","Thu Jan 04 10:34:46 GMT 2024","Thu Jan 04 10:34:49 GMT 2024","3175","","My Account page tests","","","","should display My Account helper texts",""
"unknown","Thu Jan 04 10:34:30 GMT 2024","Thu Jan 04 10:34:44 GMT 2024","13903","","User Sign-up Login and Logout","","","","should redirect unauthenticated user to signin page",""
"passed","Thu Jan 04 10:35:03 GMT 2024","Thu Jan 04 10:35:04 GMT 2024","1576","","Transactions","","","","should display Transactions list",""
