"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Jan 03 16:45:24 EET 2024","Wed Jan 03 16:45:29 EET 2024","4969","","Transactions","","","","should display Transactions list",""
"passed","Wed Jan 03 16:45:07 EET 2024","Wed Jan 03 16:45:12 EET 2024","5158","","Transactions","","","","should allow making another payment right away",""
"passed","Wed Jan 03 16:44:13 EET 2024","Wed Jan 03 16:44:45 EET 2024","31835","","My Account page tests","","","","should display My Account helper texts",""
"passed","Wed Jan 03 16:43:28 EET 2024","Wed Jan 03 16:44:02 EET 2024","33944","","User Sign-up Login and Logout","","","","should allow a visitor to sign-up, login, and logout",""
"unknown","Wed Jan 03 16:43:41 EET 2024","Wed Jan 03 16:43:58 EET 2024","16505","","Managing Bank accounts","","","","Should display helper messages, when creating new Bank Account",""
"passed","Wed Jan 03 16:45:26 EET 2024","Wed Jan 03 16:45:26 EET 2024","4","","Transactions","","","","should allow to comment Transaction",""
"passed","Wed Jan 03 16:45:21 EET 2024","Wed Jan 03 16:45:24 EET 2024","2560","","Transactions","","","","should display Transaction detail",""
"passed","Wed Jan 03 16:44:59 EET 2024","Wed Jan 03 16:45:03 EET 2024","3600","","Transactions","","","","should allow making new payment",""
"passed","Wed Jan 03 16:44:47 EET 2024","Wed Jan 03 16:44:49 EET 2024","2452","","User Sign-up Login and Logout","","","","should error for an invalid user",""
"passed","Wed Jan 03 16:44:49 EET 2024","Wed Jan 03 16:44:49 EET 2024","28","","User Sign-up Login and Logout","","","","""before each"" hook for User Sign-up Login and Logout",""
"passed","Wed Jan 03 16:45:26 EET 2024","Wed Jan 03 16:45:28 EET 2024","2168","","Transactions","","","","""before each"" hook for Transactions",""
"passed","Wed Jan 03 16:43:41 EET 2024","Wed Jan 03 16:43:41 EET 2024","44","","Managing Bank accounts","","","","""before each"" hook for Managing Bank accounts",""
"unknown","Wed Jan 03 16:44:02 EET 2024","Wed Jan 03 16:44:52 EET 2024","49289","","User Sign-up Login and Logout","","","","should display login errors",""
"passed","Wed Jan 03 16:45:16 EET 2024","Wed Jan 03 16:45:19 EET 2024","2656","","Transactions","","","","should display helper messages for Amount and Note input fields",""
"passed","Wed Jan 03 16:43:18 EET 2024","Wed Jan 03 16:43:24 EET 2024","6071","","User Sign-up Login and Logout","","","","should redirect unauthenticated user to signin page",""
"passed","Wed Jan 03 16:45:12 EET 2024","Wed Jan 03 16:45:16 EET 2024","3404","","Transactions","","","","should allow making new payment request",""
"passed","Wed Jan 03 16:43:24 EET 2024","Wed Jan 03 16:43:28 EET 2024","4325","","User Sign-up Login and Logout","","","","should redirect to the home page after login",""
"passed","Wed Jan 03 16:43:18 EET 2024","Wed Jan 03 16:43:28 EET 2024","9678","","Managing Bank accounts","","","","Should allow to create a new Bank Account",""
"passed","Wed Jan 03 16:45:28 EET 2024","Wed Jan 03 16:45:28 EET 2024","56","","Transactions","","","","""after each"" hook for Transactions",""
"passed","Wed Jan 03 16:43:28 EET 2024","Wed Jan 03 16:43:41 EET 2024","13715","","Managing Bank accounts","","","","Should allow to delete an existing Bank Account",""
"unknown","Wed Jan 03 16:44:15 EET 2024","Wed Jan 03 16:44:52 EET 2024","36235","","User Sign-up Login and Logout","","","","should display signup errors",""
"passed","Wed Jan 03 16:44:49 EET 2024","Wed Jan 03 16:44:52 EET 2024","2306","","User Sign-up Login and Logout","","","","should error for an invalid password for existing user",""
"unknown","Wed Jan 03 16:45:03 EET 2024","Wed Jan 03 16:45:29 EET 2024","25554","","Transactions","","","","should allow to return to transactions list after making payment",""
"passed","Wed Jan 03 16:44:45 EET 2024","Wed Jan 03 16:44:46 EET 2024","1543","","My Account page tests","","","","should display My Account input error messages",""
